1,0.44|0.894|0.987|0.111|0.104|0.049|0.155|0.806|0.544|0.342|0.084|0.033|0.312|0.624|0.653|0.163|0.094|0.237|0.054|0.128|0.04|0.028|0.111|0.052|0.152|0.023|0.14|0.05|0.213|0.284|0.116|0.27|0.069|0.023,0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0
2,0.656|0.988|0.184|0.153|0.065|0.03|0.059|0.141|0.343|0.181|0.05|0.022|0.261|0.265|0.796|0.146|0.255|0.325|0.017|0.043|0.073|0.086|0.037|0.033|0.152|0.042|0.051|0.295|0.145|0.952|0.087|0.151|0.044|0.013,0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0
3,0.183|0.394|0.031|0.072|0.042|0.058|0.053|0.09|0.767|0.148|0.045|0.018|0.178|0.033|0.654|0.12|0.043|0.275|0.013|0.049|0.031|0.029|0.029|0.085|0.127|0.036|0.078|0.058|0.263|0.148|0.03|0.096|0.043|0.043,0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0
4,0.13|0.146|0.044|0.027|0.046|0.039|0.052|0.085|0.12|0.144|0.033|0.03|0.28|0.053|0.378|0.035|0.027|0.823|0.056|0.016|0.044|0.021|0.05|0.038|0.088|0.029|0.079|0.063|0.052|0.114|0.026|0.058|0.035|0.037,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0
5,0.173|0.189|0.035|0.069|0.034|0.037|0.064|0.032|0.838|0.141|0.047|0.017|0.321|0.04|0.835|0.079|0.047|0.551|0.015|0.021|0.03|0.017|0.043|0.056|0.106|0.026|0.1|0.042|0.164|0.192|0.043|0.092|0.044|0.02,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0
6,0.848|0.111|0.017|0.069|0.041|0.369|0.16|0.268|0.057|0.169|0.987|0.025|0.827|0.012|0.151|0.251|0.083|0.063|0.009|0.068|0.037|0.015|0.031|0.056|0.204|0.046|0.09|0.029|0.135|0.127|0.041|0.66|0.056|0.035,1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
7,0.146|0.202|0.03|0.07|0.035|0.048|0.056|0.356|0.23|0.134|0.032|0.017|0.337|0.273|0.639|0.065|0.05|0.774|0.025|0.044|0.021|0.046|0.056|0.055|0.133|0.037|0.06|0.033|0.111|0.18|0.036|0.101|0.046|0.016,0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0
8,0.474|0.968|0.04|0.036|0.039|0.035|0.047|0.139|0.211|0.211|0.28|0.018|0.732|0.033|0.768|0.084|0.04|0.488|0.042|0.014|0.024|0.029|0.044|0.023|0.069|0.019|0.051|0.051|0.056|0.135|0.035|0.088|0.018|0.021,0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
9,0.97|0.166|0.019|0.097|0.019|0.12|0.06|0.025|0.064|0.129|0.044|0.011|0.124|0.015|0.184|0.64|0.106|0.151|0.009|0.009|0.05|0.026|0.019|0.054|0.085|0.023|0.029|0.051|0.084|0.339|0.12|0.342|0.026|0.015,1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
10,0.97|0.809|0.024|0.092|0.036|0.09|0.148|0.141|0.102|0.132|0.107|0.018|0.147|0.023|0.299|0.231|0.162|0.157|0.027|0.048|0.03|0.019|0.039|0.07|0.115|0.054|0.053|0.063|0.799|0.485|0.065|0.381|0.051|0.021,1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
